filename,slug,title,category,role_group,price_tier,frontmatter_path,alt_text,prompt,done
aged-cheddar.jpg,aged-cheddar,Aged Cheddar,Cheese,Aged & hard,$$,/images/ingredients/aged-cheddar.jpg,Aged Cheddar styled on a charcuterie board,"Close-up editorial food photograph of aged cheddar — pale ivory to deep amber, dry-looking, often cloth-bound. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut thick. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
aged-gouda.jpg,aged-gouda,Aged Gouda,Cheese,Aged & hard,$$,/images/ingredients/aged-gouda.jpg,Aged Gouda styled on a charcuterie board,"Close-up editorial food photograph of aged gouda — deep amber to brown, dry, glassy at the crystals. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: break it into shards. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
aged-provolone.jpg,aged-provolone,Aged Provolone,Cheese,Aged & hard,$$,/images/ingredients/aged-provolone.jpg,Aged Provolone styled on a charcuterie board,"Close-up editorial food photograph of aged provolone — pale gold, smooth waxy rind, often pear-shaped or hung in ropes. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into thick batons or chunks. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
asiago.jpg,asiago,Asiago,Cheese,Aged & hard,$,/images/ingredients/asiago.jpg,Asiago styled on a charcuterie board,"Close-up editorial food photograph of asiago — pale ivory with small holes fresh; deep straw and dry aged. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into thin slices and small cubes. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
beaufort.jpg,beaufort,Beaufort,Cheese,Aged & hard,$$$,/images/ingredients/beaufort.jpg,Beaufort styled on a charcuterie board,"Close-up editorial food photograph of beaufort — deep golden paste, concave-sided wheel, natural rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut thick batons or rough wedges. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
comte.jpg,comte,Comté,Cheese,Aged & hard,$$,/images/ingredients/comte.jpg,Comté styled on a charcuterie board,"Close-up editorial food photograph of comté — pale gold to deep yellow, natural brown rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut it into thick batons or short wedges. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
cotija.jpg,cotija,Cotija,Cheese,Aged & hard,$,/images/ingredients/cotija.jpg,Cotija styled on a charcuterie board,"Close-up editorial food photograph of cotija — stark white, matte, no rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: crumble it into a small bowl. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
cotswold.jpg,cotswold,Cotswold,Cheese,Aged & hard,$,/images/ingredients/cotswold.jpg,Cotswold styled on a charcuterie board,"Close-up editorial food photograph of cotswold — vivid orange paste with green flecks throughout. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into thick batons or cubes. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
emmental.jpg,emmental,Emmental,Cheese,Aged & hard,$,/images/ingredients/emmental.jpg,Emmental styled on a charcuterie board,"Close-up editorial food photograph of emmental — pale yellow with large round holes, thin natural rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into thick batons or triangles. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
grana-padano.jpg,grana-padano,Grana Padano,Cheese,Aged & hard,$$,/images/ingredients/grana-padano.jpg,Grana Padano styled on a charcuterie board,"Close-up editorial food photograph of grana padano — pale straw, dry, thick natural rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: break it into shards. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
gruyere.jpg,gruyere,Gruyère,Cheese,Aged & hard,$$,/images/ingredients/gruyere.jpg,Gruyère styled on a charcuterie board,"Close-up editorial food photograph of gruyère — pale gold, natural brownish rind, occasional small eyes. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into thick batons or rough chunks. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
idiazabal.jpg,idiazabal,Idiazábal,Cheese,Aged & hard,$$$,/images/ingredients/idiazabal.jpg,Idiazábal styled on a charcuterie board,"Close-up editorial food photograph of idiazábal — ivory paste, hard amber-brown rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut thin triangular wedges. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
mahon.jpg,mahon,Mahón,Cheese,Aged & hard,$$,/images/ingredients/mahon.jpg,Mahón styled on a charcuterie board,"Close-up editorial food photograph of mahón — pale ivory to deep gold paste, orange paprika-rubbed rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into thin triangular wedges. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
manchego.jpg,manchego,Manchego,Cheese,Aged & hard,$$,/images/ingredients/manchego.jpg,Manchego styled on a charcuterie board,"Close-up editorial food photograph of manchego — ivory to golden paste, dark rind with a zigzag basketweave pattern. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut it into thin triangular wedges. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
mimolette.jpg,mimolette,Mimolette,Cheese,Aged & hard,$$$,/images/ingredients/mimolette.jpg,Mimolette styled on a charcuterie board,"Close-up editorial food photograph of mimolette — vivid orange paste, grey pitted rind like a small moon. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: break it into shards. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
parmigiano-reggiano.jpg,parmigiano-reggiano,Parmigiano-Reggiano,Cheese,Aged & hard,$$$,/images/ingredients/parmigiano-reggiano.jpg,Parmigiano-Reggiano styled on a charcuterie board,"Close-up editorial food photograph of parmigiano-reggiano — pale straw yellow, dry, with a thick natural rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: break it, don't slice it. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
pecorino-romano.jpg,pecorino-romano,Pecorino Romano,Cheese,Aged & hard,$$,/images/ingredients/pecorino-romano.jpg,Pecorino Romano styled on a charcuterie board,"Close-up editorial food photograph of pecorino romano — white to pale straw, much whiter than Parmigiano. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: break it into small shards. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
red-leicester.jpg,red-leicester,Red Leicester,Cheese,Aged & hard,$,/images/ingredients/red-leicester.jpg,Red Leicester styled on a charcuterie board,"Close-up editorial food photograph of red leicester — deep orange-russet paste, dry natural rind on farmhouse versions. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into thick chunks or short batons. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
smoked-gouda.jpg,smoked-gouda,Smoked Gouda,Cheese,Aged & hard,$,/images/ingredients/smoked-gouda.jpg,Smoked Gouda styled on a charcuterie board,"Close-up editorial food photograph of smoked gouda — pale yellow paste with a distinct brown outer edge. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut into cubes or thin slices. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
bleu-dauvergne.jpg,bleu-dauvergne,Bleu d'Auvergne,Cheese,Blue,$$,/images/ingredients/bleu-dauvergne.jpg,Bleu d'Auvergne styled on a charcuterie board,"Close-up editorial food photograph of bleu d'auvergne — ivory paste with even blue-green veining, thin natural rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut wedges from the center out. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
cabrales.jpg,cabrales,Cabrales,Cheese,Blue,$$$,/images/ingredients/cabrales.jpg,Cabrales styled on a charcuterie board,"Close-up editorial food photograph of cabrales — ivory to grey paste, heavily veined blue-green, no rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: serve half an ounce per person. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
cambozola.jpg,cambozola,Cambozola,Cheese,Blue,$$,/images/ingredients/cambozola.jpg,Cambozola styled on a charcuterie board,"Close-up editorial food photograph of cambozola — ivory paste with faint blue-grey veining, white bloomy rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut wedges from the center out. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
danish-blue.jpg,danish-blue,Danish Blue,Cheese,Blue,$,/images/ingredients/danish-blue.jpg,Danish Blue styled on a charcuterie board,"Close-up editorial food photograph of danish blue — very white paste with dense blue-green veining. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: crumble it rather than slicing. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
gorgonzola.jpg,gorgonzola,Gorgonzola,Cheese,Blue,$$,/images/ingredients/gorgonzola.jpg,Gorgonzola styled on a charcuterie board,"Close-up editorial food photograph of gorgonzola — ivory paste with blue-green veining, thin natural rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: a cut wedge with blue-green veining, softly slumping at the point. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
maytag-blue.jpg,maytag-blue,Maytag Blue,Cheese,Blue,$$,/images/ingredients/maytag-blue.jpg,Maytag Blue styled on a charcuterie board,"Close-up editorial food photograph of maytag blue — white paste with dense blue-green veining, no rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: crumble it. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
roquefort.jpg,roquefort,Roquefort,Cheese,Blue,$$$,/images/ingredients/roquefort.jpg,Roquefort styled on a charcuterie board,"Close-up editorial food photograph of roquefort — stark white paste heavily marbled with blue-green, no rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut with a wire or floss. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
stilton.jpg,stilton,Stilton,Cheese,Blue,$$,/images/ingredients/stilton.jpg,Stilton styled on a charcuterie board,"Close-up editorial food photograph of stilton — pale ivory paste with blue-green veining, dry brown crusty rind. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut wedges from the center out. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
bucheron.jpg,bucheron,Bucheron,Cheese,Goat & sheep,$$,/images/ingredients/bucheron.jpg,Bucheron styled on a charcuterie board,"Close-up editorial food photograph of bucheron — white log with a bloomy rind and a visible creamline in cross-section. Presented on a pale grey-veined marble slab, with a small bone-handled cheese knife resting alongside. Styled as it would be served on a charcuterie board: cut discs with dental floss or a wire. Soft diffused natural window light from the upper left, gentle shadows, shallow depth of field, muted warm editorial palette, 3:2 landscape, food-magazine styling, photorealistic. No text, no logos, no hands, no people.",
